Year,Cause Name,State,Deaths
2012,Diabetes,Rhode Island,198
2014,Influenza and pneumonia,California,5970
2007,Influenza and pneumonia,New Hampshire,207
2005,Kidney disease,Delaware,128
2000,Kidney disease,South Dakota,130
2005,Kidney disease,United States,43901
2003,Kidney disease,United States,42453
2012,Suicide,Alabama,724
2013,Suicide,Kansas,425
2007,Suicide,Oklahoma,531
2016,Suicide,Pennsylvania,1970
2000,Suicide,Utah,298
2016,Suicide,Wisconsin,866
2015,Suicide,Wisconsin,877
1999,Alzheimer's disease,Arkansas,434
2009,Alzheimer's disease,Hawaii,253
2013,Diabetes,Connecticut,664
2003,Diabetes,Hawaii,202
2013,Diabetes,Nevada,424
2007,Influenza and pneumonia,Arizona,905
2015,Influenza and pneumonia,California,6188
2009,Influenza and pneumonia,Colorado,658
2009,Influenza and pneumonia,Montana,176
2013,Influenza and pneumonia,New Mexico,337
2004,Kidney disease,Connecticut,604
2014,Kidney disease,Delaware,173
2000,Kidney disease,District of Columbia,84
2011,Kidney disease,Maine,257
2004,Kidney disease,Michigan,1507
2012,Kidney disease,Ohio,2056
2013,Kidney disease,Tennessee,1068
2010,Kidney disease,Tennessee,983
2006,Kidney disease,United States,45344
2012,Kidney disease,Wisconsin,1024
2001,Suicide,Arizona,767
1999,Suicide,Idaho,181
2005,Suicide,Oklahoma,522
2015,Suicide,South Carolina,742
2004,Suicide,South Dakota,112
2014,Suicide,Tennessee,997
2015,Suicide,Vermont,103
2001,Alzheimer's disease,Nevada,211
2013,Alzheimer's disease,New Mexico,339
2016,Diabetes,Connecticut,699
2014,Diabetes,Connecticut,685
2016,Diabetes,Massachusetts,1268
2007,Influenza and pneumonia,North Dakota,133
2009,Kidney disease,Michigan,1650
2001,Kidney disease,Nebraska,289
2016,Kidney disease,Tennessee,1150
2005,Kidney disease,Texas,2729
2007,Kidney disease,United States,46448
2011,Kidney disease,Wyoming,85
2015,Suicide,Alabama,750
2012,Suicide,Missouri,914
2011,Suicide,North Dakota,106
2001,Suicide,Oklahoma,515
2005,Suicide,Oregon,560
2016,Suicide,Washington,1141
2002,Suicide,West Virginia,276
1999,Alzheimer's disease,Delaware,107
2000,Alzheimer's disease,Florida,3265
2014,Alzheimer's disease,Hawaii,326
1999,Alzheimer's disease,Missouri,914
1999,Alzheimer's disease,West Virginia,314
2013,Diabetes,Colorado,788
2003,Diabetes,Nevada,301
2016,Influenza and pneumonia,Ohio,2187
2016,Influenza and pneumonia,Wyoming,99
2016,Kidney disease,Kansas,533
2007,Kidney disease,Michigan,1610
2000,Kidney disease,Michigan,1433
1999,Kidney disease,Michigan,1417
2010,Kidney disease,Minnesota,897
2000,Kidney disease,Missouri,907
1999,Kidney disease,Ohio,1748
2010,Kidney disease,Oklahoma,595
2000,Kidney disease,Oklahoma,536
2005,Kidney disease,Wisconsin,930
2010,Suicide,Hawaii,207
2007,Suicide,Idaho,223
2006,Suicide,Oklahoma,537
2001,Suicide,West Virginia,286
2000,Alzheimer's disease,Delaware,110
2011,Alzheimer's disease,Maryland,922
2016,Diabetes,Hawaii,285
2005,Diabetes,Hawaii,218
2011,Diabetes,Nevada,400
2008,Diabetes,Rhode Island,195
2004,Influenza and pneumonia,Alaska,42
2008,Influenza and pneumonia,Connecticut,694
2002,Influenza and pneumonia,Florida,3290
2013,Influenza and pneumonia,Idaho,259
2016,Influenza and pneumonia,Maryland,1025
2011,Influenza and pneumonia,Michigan,1750
2007,Influenza and pneumonia,Michigan,1637
2005,Influenza and pneumonia,Minnesota,846
2016,Influenza and pneumonia,Missouri,1150
2014,Influenza and pneumonia,Nebraska,351
2014,Influenza and pneumonia,United States,55227
2010,Influenza and pneumonia,United States,50097
2001,Kidney disease,Connecticut,585
2004,Kidney disease,Delaware,128
2013,Kidney disease,Massachusetts,1261
1999,Kidney disease,Missouri,907
2014,Kidney disease,South Carolina,837
2009,Kidney disease,United States,48935
2008,Kidney disease,United States,48237
2009,Kidney disease,Wisconsin,994
2007,Suicide,Kentucky,649
2004,Suicide,Oregon,555
2008,Suicide,Tennessee,973
2012,Alzheimer's disease,Florida,4422
2010,Diabetes,Colorado,721
2012,Influenza and pneumonia,California,5849
2015,Influenza and pneumonia,Michigan,1894
2006,Influenza and pneumonia,Montana,169
2005,Influenza and pneumonia,Oregon,614
2015,Influenza and pneumonia,United States,57062
2005,Influenza and pneumonia,Washington,927
2011,Kidney disease,Massachusetts,1234
2014,Kidney disease,Michigan,1853
2008,Kidney disease,Michigan,1663
2005,Kidney disease,Ohio,1902
2016,Kidney disease,Utah,370
2004,Kidney disease,Wisconsin,925
2011,Suicide,Kentucky,675
2015,Suicide,Louisiana,722
2012,Suicide,North Dakota,105
2014,Suicide,South Carolina,753
2014,Suicide,Washington,1119
2001,Alzheimer's disease,Arkansas,452
2012,Alzheimer's disease,Nevada,356
2001,Alzheimer's disease,New Jersey,1376
2005,Diabetes,Nevada,336
2001,Influenza and pneumonia,District of Columbia,86
2013,Influenza and pneumonia,Indiana,1132
2015,Influenza and pneumonia,Louisiana,753
2006,Influenza and pneumonia,North Dakota,138
2006,Influenza and pneumonia,Ohio,1947
2011,Influenza and pneumonia,Rhode Island,226
2015,Influenza and pneumonia,South Carolina,848
2010,Kidney disease,Michigan,1720
2003,Kidney disease,Nebraska,302
2005,Kidney disease,Oklahoma,564
2016,Kidney disease,South Carolina,897
2010,Kidney disease,United States,50476
2006,Suicide,Colorado,730
2011,Suicide,Missouri,933
2009,Suicide,Oklahoma,567
2007,Suicide,Oregon,594
2006,Suicide,Oregon,579
1999,Alzheimer's disease,Maryland,681
1999,Alzheimer's disease,Michigan,1431
1999,Alzheimer's disease,Oklahoma,553
2010,Diabetes,Connecticut,662
2014,Diabetes,Hawaii,276
2000,Diabetes,Nevada,276
2009,Influenza and pneumonia,Connecticut,696
2006,Influenza and pneumonia,New Hampshire,212
2009,Influenza and pneumonia,Ohio,2040
2010,Kidney disease,Delaware,158
2002,Kidney disease,Maine,232
1999,Kidney disease,North Carolina,1138
2016,Kidney disease,Ohio,2262
2010,Kidney disease,Ohio,2066
2004,Kidney disease,Ohio,1896
2011,Kidney disease,Texas,3397
2003,Kidney disease,Texas,2678
2006,Kidney disease,Wisconsin,962
2016,Suicide,Indiana,1034
2005,Suicide,South Dakota,121
2013,Suicide,Tennessee,1030
2005,Suicide,Utah,348
2003,Suicide,Utah,336
2015,Suicide,Washington,1137
2004,Suicide,West Virginia,285
2009,Alzheimer's disease,Nevada,312
2014,Diabetes,Colorado,835
2011,Diabetes,Connecticut,692
2007,Diabetes,Connecticut,646
2013,Diabetes,Hawaii,271
2002,Diabetes,Hawaii,204
2006,Diabetes,Massachusetts,1132
2009,Diabetes,Nevada,377
2001,Influenza and pneumonia,Florida,3317
2015,Influenza and pneumonia,Georgia,1467
2014,Influenza and pneumonia,Michigan,1875
2004,Influenza and pneumonia,Montana,165
2007,Influenza and pneumonia,Nebraska,331
2007,Influenza and pneumonia,New Mexico,298
2012,Influenza and pneumonia,Ohio,2195
2001,Influenza and pneumonia,Oregon,575
2007,Influenza and pneumonia,Pennsylvania,2555
2016,Influenza and pneumonia,Utah,380
2010,Influenza and pneumonia,Virginia,1195
2012,Kidney disease,Massachusetts,1271
2004,Kidney disease,Oklahoma,565
2015,Kidney disease,South Carolina,886
2008,Kidney disease,Wisconsin,1007
2008,Suicide,Arizona,972
2003,Suicide,Arizona,840
1999,Suicide,Arizona,766
2010,Suicide,Arkansas,447
2008,Suicide,Arkansas,447
2002,Suicide,Idaho,202
2001,Suicide,Utah,321
2013,CLRD,Hawaii,279
2011,Diabetes,Hawaii,264
2008,Diabetes,Nevada,373
2006,Influenza and pneumonia,Colorado,614
2006,Influenza and pneumonia,Delaware,138
2011,Influenza and pneumonia,District of Columbia,96
2003,Influenza and pneumonia,District of Columbia,87
2012,Influenza and pneumonia,Iowa,664
2008,Influenza and pneumonia,Maine,263
2014,Influenza and pneumonia,Maryland,1019
2009,Influenza and pneumonia,Pennsylvania,2601
2012,Influenza and pneumonia,Utah,337
2013,Influenza and pneumonia,Wisconsin,1125
2003,Kidney disease,Delaware,130
2008,Kidney disease,Maine,263
2015,Kidney disease,Michigan,1921
2010,Kidney disease,New Jersey,1580
2000,Kidney disease,Ohio,1829
2012,Kidney disease,Texas,3525
2015,Kidney disease,Utah,363
2007,Kidney disease,Wisconsin,1002
2000,Suicide,Arizona,784
2013,Suicide,Kentucky,701
2013,Suicide,Missouri,960
2010,Suicide,North Dakota,106
2004,Alzheimer's disease,Connecticut,684
2009,Alzheimer's disease,District of Columbia,94
2007,Alzheimer's disease,Hawaii,247
2007,Influenza and pneumonia,Idaho,228
2015,Influenza and pneumonia,Illinois,2343
2011,Influenza and pneumonia,Iowa,660
2010,Influenza and pneumonia,Maryland,925
2003,Influenza and pneumonia,Minnesota,858
2001,Influenza and pneumonia,Minnesota,828
2009,Influenza and pneumonia,North Dakota,138
2011,Influenza and pneumonia,South Carolina,768
2011,Influenza and pneumonia,United States,53826
2015,Influenza and pneumonia,Utah,372
2015,Influenza and pneumonia,Virginia,1416
2007,Influenza and pneumonia,Wisconsin,1022
2012,Influenza and pneumonia,Wyoming,91
2006,Kidney disease,Maine,252
2003,Kidney disease,Oklahoma,566
2016,Kidney disease,Pennsylvania,2813
2014,Kidney disease,Pennsylvania,2798
2013,Kidney disease,Pennsylvania,2767
2016,Suicide,Alabama,788
2014,Suicide,Kansas,455
2014,Suicide,Maine,220
2008,Suicide,Oklahoma,575
2016,Suicide,South Carolina,815
2011,Suicide,South Dakota,128
2008,Suicide,South Dakota,124
2015,Suicide,Tennessee,1068
2010,Suicide,Vermont,106
2007,Suicide,West Virginia,300
2000,Alzheimer's disease,California,4419
2011,Alzheimer's disease,Nevada,349
2010,Influenza and pneumonia,Alaska,64
2003,Influenza and pneumonia,Delaware,127
2012,Influenza and pneumonia,Maryland,986
2014,Influenza and pneumonia,Massachusetts,1370
2013,Influenza and pneumonia,Michigan,1896
2008,Influenza and pneumonia,Ohio,2085
2010,Influenza and pneumonia,South Dakota,169
2012,Influenza and pneumonia,Virginia,1307
2006,Influenza and pneumonia,Wisconsin,1014
2010,Kidney disease,Maine,272
2001,Kidney disease,Michigan,1533
2001,Kidney disease,Oklahoma,567
2012,Kidney disease,Pennsylvania,2736
2016,Kidney disease,Texas,4125
2006,Kidney disease,Texas,2995
2004,Suicide,Arizona,880
2006,Suicide,Idaho,222
2007,Suicide,Utah,378
1999,Alzheimer's disease,Illinois,1908
2006,Alzheimer's disease,Nevada,281
1999,Alzheimer's disease,Virginia,917
2015,Diabetes,Colorado,887
2012,Diabetes,Colorado,797
2012,Diabetes,Nevada,438
2012,Diabetes,Wyoming,97
2008,Influenza and pneumonia,Colorado,678
2006,Influenza and pneumonia,Michigan,1679
2015,Influenza and pneumonia,Pennsylvania,2899
2010,Influenza and pneumonia,South Carolina,747
2013,Influenza and pneumonia,United States,56979
1999,Kidney disease,Arkansas,458
2005,Kidney disease,Maine,250
2006,Kidney disease,Michigan,1673
1999,Kidney disease,New Jersey,1380
2012,Kidney disease,North Carolina,1656
2006,Kidney disease,Oklahoma,594
2013,Kidney disease,Texas,3722
2001,Suicide,Alaska,102
2016,Suicide,Maine,226
2008,Suicide,Utah,390
2011,Suicide,West Virginia,306
2006,Alzheimer's disease,Connecticut,728
2011,Alzheimer's disease,Florida,4507
2001,Alzheimer's disease,South Dakota,156
2010,Diabetes,Rhode Island,211
2000,Influenza and pneumonia,Alaska,45
2000,Influenza and pneumonia,Florida,3365
2010,Influenza and pneumonia,Massachusetts,1291
2011,Influenza and pneumonia,Pennsylvania,2771
2002,Influenza and pneumonia,Washington,907
2015,Influenza and pneumonia,Wyoming,99
2013,Kidney disease,Delaware,178
2015,Kidney disease,North Carolina,1821
2013,Kidney disease,South Carolina,869
2011,Suicide,Arkansas,462
2014,Suicide,Kentucky,728
2015,Suicide,Maine,235
2006,Suicide,South Dakota,125
2006,Suicide,Utah,362
2010,Diabetes,New Hampshire,236
2015,Influenza and pneumonia,Delaware,189
1999,Influenza and pneumonia,Florida,3328
2010,Influenza and pneumonia,Illinois,2212
2012,Influenza and pneumonia,Massachusetts,1356
2007,Influenza and pneumonia,Montana,183
2015,Influenza and pneumonia,New Hampshire,275
2014,Influenza and pneumonia,New Mexico,376
2009,Influenza and pneumonia,Rhode Island,222
2007,Influenza and pneumonia,Rhode Island,224
2009,Kidney disease,Massachusetts,1269
2001,Kidney disease,Ohio,1912
2011,Kidney disease,South Carolina,802
2015,Kidney disease,Texas,4052
2015,Kidney disease,Virginia,1470
2008,Suicide,Colorado,803
2003,Suicide,Colorado,728
2013,Alzheimer's disease,Connecticut,824
2007,Alzheimer's disease,Maryland,881
2009,Diabetes,Arizona,1083
2016,Diabetes,Colorado,938
2012,Diabetes,Hawaii,277
2006,Diabetes,Rhode Island,206
2009,Influenza and pneumonia,Arizona,1058
2015,Influenza and pneumonia,District of Columbia,104
2014,Influenza and pneumonia,Georgia,1510
2006,Influenza and pneumonia,Idaho,225
1999,Influenza and pneumonia,New Hampshire,187
2013,Influenza and pneumonia,Pennsylvania,2884
2015,Influenza and pneumonia,Rhode Island,246
2008,Influenza and pneumonia,South Carolina,727
2014,Influenza and pneumonia,South Dakota,181
2013,Influenza and pneumonia,South Dakota,184
2014,Influenza and pneumonia,Utah,366
2000,Kidney disease,Kansas,478
1999,Kidney disease,Massachusetts,1127
2005,Kidney disease,Michigan,1681
2009,Kidney disease,Oklahoma,637
2002,Suicide,Colorado,727
2012,Suicide,Kentucky,724
2009,Suicide,Oregon,644
2003,Suicide,Oregon,592
2002,Suicide,Utah,340
2009,Alzheimer's disease,Connecticut,778
2009,Alzheimer's disease,Maryland,937
1999,Alzheimer's disease,Nebraska,331
2013,Alzheimer's disease,New Jersey,1812
1999,Alzheimer's disease,South Dakota,155
2000,Diabetes,Hawaii,203
2012,Influenza and pneumonia,Illinois,2323
2006,Influenza and pneumonia,Nebraska,345
2011,Influenza and pneumonia,North Carolina,1619
2008,Influenza and pneumonia,Pennsylvania,2705
2011,Influenza and pneumonia,South Dakota,178
2009,Influenza and pneumonia,Utah,332
2009,Influenza and pneumonia,Virginia,1237
2009,Kidney disease,Maine,272
2001,Kidney disease,Missouri,991
2014,Kidney disease,North Carolina,1791
2006,Suicide,Arizona,979
2012,Suicide,Arkansas,485
2001,Suicide,Idaho,210
2015,Suicide,Kansas,477
2014,Suicide,Missouri,1017
2009,Suicide,South Dakota,129
2016,Suicide,Tennessee,1111
2011,Alzheimer's disease,Connecticut,813
2001,Alzheimer's disease,Florida,3643
2015,Alzheimer's disease,Maryland,1095
1999,Alzheimer's disease,New Mexico,248
2011,Diabetes,Colorado,790
2010,Influenza and pneumonia,California,5882
2012,Influenza and pneumonia,Georgia,1390
2001,Influenza and pneumonia,Hawaii,207
2010,Influenza and pneumonia,Kansas,550
2000,Influenza and pneumonia,Minnesota,845
2013,Influenza and pneumonia,Montana,210
2003,Influenza and pneumonia,New Hampshire,204
2003,Influenza and pneumonia,Oregon,632
2009,Influenza and pneumonia,South Carolina,759
1999,Kidney disease,District of Columbia,91
1999,Kidney disease,Illinois,1965
2002,Kidney disease,Michigan,1618
2007,Kidney disease,Oklahoma,623
2012,Kidney disease,South Carolina,860
1999,Kidney disease,West Virginia,345
2005,Suicide,Arizona,945
2003,Suicide,Idaho,217
2013,Suicide,West Virginia,323
2001,Suicide,Wyoming,83
1999,Alzheimer's disease,Massachusetts,1182
2000,Alzheimer's disease,Mississippi,443
2000,Alzheimer's disease,Pennsylvania,2542
1999,Alzheimer's disease,United States,44536
1999,Influenza and pneumonia,California,4560
2004,Influenza and pneumonia,District of Columbia,91
2005,Influenza and pneumonia,Hawaii,241
2007,Influenza and pneumonia,Indiana,1098
2000,Influenza and pneumonia,New Hampshire,194
2011,Influenza and pneumonia,New Mexico,355
2016,Influenza and pneumonia,North Carolina,1896
2015,Influenza and pneumonia,Oklahoma,717
2006,Influenza and pneumonia,Pennsylvania,2716
2009,Influenza and pneumonia,Texas,3387
2009,Influenza and pneumonia,United States,53692
2007,Kidney disease,Maine,269
2001,Kidney disease,South Carolina,632
2014,Kidney disease,Texas,4008
2007,Suicide,Arizona,1016
2001,Suicide,Colorado,722
2005,Suicide,Idaho,228
2015,Suicide,New Hampshire,228
2010,Suicide,Oklahoma,618
1999,Alzheimer's disease,California,4532
2007,Alzheimer's disease,Connecticut,764
2014,Alzheimer's disease,Delaware,188
1999,Alzheimer's disease,Kansas,511
2010,Diabetes,Hawaii,272
2007,Diabetes,Massachusetts,1222
2009,Diabetes,Rhode Island,213
2016,Diabetes,Wyoming,112
2013,Influenza and pneumonia,California,6551
2011,Influenza and pneumonia,California,6200
2009,Influenza and pneumonia,Iowa,661
2015,Influenza and pneumonia,Ohio,2445
2013,Influenza and pneumonia,Ohio,2374
2011,Influenza and pneumonia,Ohio,2291
2012,Influenza and pneumonia,South Dakota,185
2014,Kidney disease,Kansas,569
2001,Kidney disease,Kansas,498
2003,Kidney disease,Michigan,1665
2011,Kidney disease,Nevada,412
2013,Kidney disease,North Carolina,1780
2016,Kidney disease,Virginia,1543
2002,Suicide,Arizona,886
2007,Suicide,Colorado,811
2011,Suicide,Maine,235
2011,Suicide,Oregon,656
2015,Alzheimer's disease,Alaska,68
2002,Alzheimer's disease,Delaware,128
2002,Alzheimer's disease,New Jersey,1522
2006,Diabetes,Colorado,677
2015,Diabetes,Massachusetts,1398
2010,Diabetes,New York,3642
2009,Influenza and pneumonia,New Mexico,344
2016,Influenza and pneumonia,South Dakota,195
2008,Influenza and pneumonia,Wisconsin,1116
2009,Suicide,Arizona,1060
2008,Suicide,Idaho,252
2012,Alzheimer's disease,Connecticut,842
2010,Alzheimer's disease,Maryland,986
2001,Alzheimer's disease,Mississippi,449
2010,Alzheimer's disease,New Mexico,343
2007,Diabetes,Colorado,710
2003,Diabetes,Connecticut,665
2008,Influenza and pneumonia,Arizona,1068
2013,Influenza and pneumonia,Georgia,1494
2014,Influenza and pneumonia,Illinois,2485
2013,Influenza and pneumonia,Illinois,2441
2011,Influenza and pneumonia,Maine,302
2006,Influenza and pneumonia,Maine,269
2014,Influenza and pneumonia,Oklahoma,723
2007,Influenza and pneumonia,South Carolina,723
2007,Influenza and pneumonia,United States,52717
2015,Kidney disease,Kansas,582
2001,Kidney disease,New Jersey,1495
2011,Kidney disease,Pennsylvania,2873
1999,Suicide,Alaska,96
2010,Suicide,Colorado,865
2016,Suicide,Kentucky,756
2013,Suicide,Oregon,698
2012,Suicide,South Dakota,141
2013,Suicide,Vermont,112
2000,Suicide,Wyoming,83
2009,Alzheimer's disease,Delaware,163
2013,Alzheimer's disease,Florida,5093
2006,Alzheimer's disease,New Jersey,1649
2016,Diabetes,New York,4038
2008,Diabetes,New York,3605
2016,Diabetes,Rhode Island,239
2004,Influenza and pneumonia,Hawaii,236
2010,Influenza and pneumonia,Indiana,1175
2009,Influenza and pneumonia,Maryland,976
2011,Influenza and pneumonia,Massachusetts,1418
2008,Influenza and pneumonia,Michigan,1853
2002,Influenza and pneumonia,Minnesota,900
2015,Influenza and pneumonia,Nebraska,397
2014,Influenza and pneumonia,Ohio,2443
2006,Kidney disease,Delaware,152
2012,Kidney disease,Indiana,1221
2005,Kidney disease,Kansas,517
2002,Kidney disease,Ohio,2027
2015,Kidney disease,Pennsylvania,3021
1999,Kidney disease,Virginia,1035
2003,Alzheimer's disease,District of Columbia,95
1999,Alzheimer's disease,Rhode Island,219
2002,Alzheimer's disease,South Dakota,167
2016,Diabetes,Delaware,203
2010,Influenza and pneumonia,Hawaii,289
2004,Influenza and pneumonia,Idaho,219
2009,Influenza and pneumonia,Massachusetts,1348
2012,Influenza and pneumonia,Missouri,1213
2008,Influenza and pneumonia,Nebraska,366
2008,Influenza and pneumonia,North Dakota,148
2004,Influenza and pneumonia,North Dakota,148
2008,Influenza and pneumonia,South Dakota,177
2006,Influenza and pneumonia,South Dakota,173
2007,Influenza and pneumonia,Texas,3230
2013,Influenza and pneumonia,Virginia,1442
2016,Kidney disease,Illinois,2518
2012,Kidney disease,Illinois,2392
2000,Kidney disease,New Jersey,1495
2011,Kidney disease,North Carolina,1705
2007,Kidney disease,Texas,3291
2010,Suicide,Arizona,1093
2010,Alzheimer's disease,Connecticut,820
2012,Alzheimer's disease,New Jersey,1881
2012,Alzheimer's disease,New Mexico,373
2007,Alzheimer's disease,New Mexico,322
2014,CLRD,Hawaii,313
2015,Diabetes,New York,4045
2016,Influenza and pneumonia,Alabama,987
2016,Influenza and pneumonia,Arkansas,623
2008,Influenza and pneumonia,Hawaii,270
2011,Influenza and pneumonia,Maryland,1036
2015,Influenza and pneumonia,Massachusetts,1512
2004,Influenza and pneumonia,New Jersey,1586
2011,Influenza and pneumonia,Utah,358
2010,Influenza and pneumonia,Utah,348
2007,Influenza and pneumonia,Utah,313
2002,Influenza and pneumonia,Vermont,111
2014,Influenza and pneumonia,Virginia,1498
2016,Kidney disease,Delaware,208
2013,Kidney disease,Illinois,2444
2004,Kidney disease,Maine,264
2004,Kidney disease,Massachusetts,1250
2001,Kidney disease,Massachusetts,1207
2005,Kidney disease,New Jersey,1597
2016,Kidney disease,North Carolina,2002
2003,Kidney disease,Ohio,2093
2015,Suicide,Kentucky,776
2015,Suicide,Missouri,1052
2010,Suicide,Oregon,685
2014,Suicide,South Dakota,141
2012,Suicide,West Virginia,326
2014,Alzheimer's disease,Alaska,68
2001,Alzheimer's disease,California,4935
2000,Alzheimer's disease,West Virginia,361
2009,Diabetes,Colorado,779
1999,Diabetes,Nevada,286
2009,Diabetes,Wisconsin,1110
2007,Influenza and pneumonia,Connecticut,776
2005,Influenza and pneumonia,District of Columbia,98
2006,Influenza and pneumonia,Hawaii,257
2013,Influenza and pneumonia,Maryland,1103
2011,Influenza and pneumonia,Missouri,1205
2014,Influenza and pneumonia,North Carolina,1874
2007,Influenza and pneumonia,Virginia,1231
2014,Kidney disease,Illinois,2517
2011,Kidney disease,Illinois,2386
2009,Kidney disease,New Jersey,1709
2008,Kidney disease,Oklahoma,664
2014,Kidney disease,Utah,393
2005,Suicide,Colorado,800
2004,Suicide,Colorado,797
2016,Suicide,New Hampshire,244
2013,Suicide,Oklahoma,665
2004,Suicide,Utah,377
2006,Alzheimer's disease,Maryland,915
2002,Alzheimer's disease,Nevada,253
1999,Alzheimer's disease,Utah,245
2015,CLRD,Hawaii,332
2002,Diabetes,Connecticut,675
1999,Diabetes,Hawaii,211
2009,Diabetes,New York,3723
2011,Influenza and pneumonia,Illinois,2424
2016,Influenza and pneumonia,Kentucky,888
2004,Influenza and pneumonia,Nebraska,347
2005,Influenza and pneumonia,New Jersey,1637
2006,Influenza and pneumonia,South Carolina,724
2016,Influenza and pneumonia,West Virginia,423
2000,Kidney disease,Arkansas,500
2015,Kidney disease,Illinois,2543
1999,Kidney disease,Indiana,1022
2009,Kidney disease,Kansas,556
2002,Kidney disease,Kansas,517
2006,Kidney disease,New Jersey,1645
2003,Kidney disease,North Carolina,1387
2012,Suicide,Arizona,1156
2014,Suicide,Arkansas,515
2013,Suicide,Arkansas,516
2013,Suicide,North Dakota,128
2016,Suicide,Vermont,118
2005,Suicide,Wyoming,90
2005,Alzheimer's disease,Connecticut,777
2016,Alzheimer's disease,Maryland,1178
2000,Alzheimer's disease,Nebraska,353
2014,Alzheimer's disease,New Jersey,1962
2013,Alzheimer's disease,Pennsylvania,3271
2014,Diabetes,New York,4064
2013,Diabetes,Vermont,139
2004,Influenza and pneumonia,Delaware,145
2009,Influenza and pneumonia,Indiana,1191
2006,Influenza and pneumonia,Indiana,1129
2010,Influenza and pneumonia,Missouri,1188
2001,Influenza and pneumonia,Washington,965
2016,Kidney disease,Alabama,1012
2007,Kidney disease,Delaware,163
2013,Kidney disease,Kansas,594
2011,Kidney disease,Kansas,574
2003,Kidney disease,Maine,265
2006,Kidney disease,Missouri,1118
2004,Kidney disease,Missouri,1083
2001,Kidney disease,North Carolina,1332
2012,Suicide,Kansas,502
2013,Suicide,Maine,245
2015,Suicide,West Virginia,340
2001,Alzheimer's disease,District of Columbia,99
2001,Alzheimer's disease,Illinois,2163
2000,Alzheimer's disease,Michigan,1646
2003,Alzheimer's disease,South Dakota,174
2002,Diabetes,Nevada,343
2001,Diabetes,Nevada,322
2012,Diabetes,New Hampshire,275
2004,Influenza and pneumonia,Colorado,637
2011,Influenza and pneumonia,Georgia,1457
2014,Influenza and pneumonia,Louisiana,854
2012,Influenza and pneumonia,Louisiana,808
2008,Influenza and pneumonia,New Mexico,351
2010,Kidney disease,Massachusetts,1381
2008,Kidney disease,New Jersey,1715
2007,Kidney disease,New Jersey,1690
2011,Kidney disease,Virginia,1419
2010,Kidney disease,Wisconsin,1163
2013,Suicide,Arizona,1163
2011,Suicide,Colorado,913
2000,Suicide,Montana,158
2015,Suicide,North Dakota,124
2010,Suicide,South Dakota,140
2004,Suicide,Wyoming,88
2013,Alzheimer's disease,Delaware,192
2009,Alzheimer's disease,Florida,4617
2001,Alzheimer's disease,Pennsylvania,2753
2008,Diabetes,Colorado,767
2012,Diabetes,Iowa,692
2014,Diabetes,Wyoming,110
2005,Influenza and pneumonia,Colorado,666
2003,Influenza and pneumonia,Hawaii,237
2015,Influenza and pneumonia,Maine,333
2008,Influenza and pneumonia,United States,56284
2011,Influenza and pneumonia,Virginia,1421
2007,Kidney disease,Kansas,554
2003,Kidney disease,Kansas,531
2000,Kidney disease,Massachusetts,1231
2002,Kidney disease,Missouri,1076
2004,Kidney disease,New Jersey,1624
2000,Kidney disease,North Carolina,1315
2014,Kidney disease,Virginia,1553
2004,Suicide,Idaho,236
2012,Suicide,Oklahoma,670
2000,Alzheimer's disease,Illinois,2154
2010,Alzheimer's disease,New Jersey,1878
2003,Alzheimer's disease,New Jersey,1636
2000,Alzheimer's disease,New Mexico,275
2000,Alzheimer's disease,Oklahoma,638
2016,CLRD,Hawaii,342
2012,CLRD,Hawaii,312
2005,Diabetes,Massachusetts,1271
2010,Diabetes,Minnesota,1037
2009,Diabetes,Minnesota,1021
2012,Diabetes,New York,4010
2007,Diabetes,New York,3715
2010,Diabetes,Wisconsin,1158
2015,Influenza and pneumonia,Maryland,1176
2005,Influenza and pneumonia,Nebraska,370
2004,Influenza and pneumonia,New Mexico,308
2010,Influenza and pneumonia,North Carolina,1700
2015,Influenza and pneumonia,North Dakota,172
2002,Influenza and pneumonia,Oregon,666
2003,Influenza and pneumonia,Vermont,116
2001,Kidney disease,Arkansas,521
2009,Kidney disease,Delaware,176
2000,Kidney disease,Illinois,2128
2012,Kidney disease,Kansas,600
2010,Kidney disease,Kansas,577
1999,Kidney disease,Kentucky,685
2008,Kidney disease,Texas,3536
2016,Suicide,Arizona,1271
1999,Suicide,Montana,162
1999,Alzheimer's disease,Alabama,772
2008,Alzheimer's disease,Connecticut,839
2003,Alzheimer's disease,Maryland,865
2001,Alzheimer's disease,Missouri,1106
2000,Alzheimer's disease,Missouri,1096
2002,Alzheimer's disease,Pennsylvania,2823
2016,Diabetes,New Jersey,1949
2013,Diabetes,New York,4094
2009,Influenza and pneumonia,Hawaii,291
2009,Influenza and pneumonia,Illinois,2416
2013,Influenza and pneumonia,Iowa,761
2000,Influenza and pneumonia,Oregon,642
2003,Kidney disease,Arkansas,526
2003,Kidney disease,Massachusetts,1286
2012,Kidney disease,Missouri,1259
2003,Kidney disease,Missouri,1099
2010,Kidney disease,Pennsylvania,2982
2000,Kidney disease,Pennsylvania,2677
2001,Kidney disease,Virginia,1128
2011,Suicide,Arizona,1160
2014,Suicide,New Hampshire,247
2005,Suicide,New Mexico,342
2014,Suicide,North Dakota,137
2016,Suicide,Oregon,772
2015,Suicide,Oregon,762
2012,Suicide,Oregon,724
2011,Suicide,Vermont,120
